country_code,region,city,currency_code,affluence_tier,demand_level,multiplier,base_price,effective_from,kg_entity_id,notes
US,CA,San Francisco,USD,Very High,Peak,1.8,120.0,2024-01-01,KG:LOC:SF,Tech hub, high demand
US,NY,New York,USD,Very High,Peak,1.9,130.0,2024-01-01,KG:LOC:NYC,Financial center, high demand
US,TX,Austin,USD,High,Normal,1.3,80.0,2024-01-01,KG:LOC:AUS,Tech growth, moderate demand
US,,,USD,Medium,Normal,1.0,60.0,2024-01-01,KG:LOC:US,Default US pricing
GB,ENG,London,GBP,Very High,Peak,2.0,150.0,2024-01-01,KG:LOC:LON,Capital, high demand
GB,,,GBP,High,Normal,1.2,90.0,2024-01-01,KG:LOC:GB,Default UK pricing
NG,Lagos,Lagos,NGN,Medium,Normal,1.0,50.0,2024-01-01,KG:LOC:LAG,Commercial center
NG,Abuja,Abuja,NGN,High,Normal,1.2,60.0,2024-01-01,KG:LOC:ABJ,Capital city
NG,,,NGN,Low,Normal,0.8,30.0,2024-01-01,KG:LOC:NG,Default Nigeria pricing
CH,ZH,Zurich,CHF,Very High,High,1.7,200.0,2024-01-01,KG:LOC:ZUR,Banking capital
CH,,,CHF,High,Normal,1.3,120.0,2024-01-01,KG:LOC:CH,Default Switzerland pricing
IN,MH,Mumbai,INR,Medium,Peak,1.2,40.0,2024-01-01,KG:LOC:MUM,Financial center
IN,DL,Delhi,INR,Medium,Normal,1.0,35.0,2024-01-01,KG:LOC:DEL,Capital city
IN,,,INR,Low,Normal,0.7,20.0,2024-01-01,KG:LOC:IN,Default India pricing
CN,BJ,Beijing,CNY,High,Peak,1.5,80.0,2024-01-01,KG:LOC:BJ,Capital, high demand
CN,SH,Shanghai,CNY,High,Normal,1.3,70.0,2024-01-01,KG:LOC:SH,Financial center
CN,,,CNY,Medium,Normal,1.0,50.0,2024-01-01,KG:LOC:CN,Default China pricing
BR,SP,Sao Paulo,BRL,High,Peak,1.4,70.0,2024-01-01,KG:LOC:SP,Economic hub
BR,,,BRL,Medium,Normal,1.0,40.0,2024-01-01,KG:LOC:BR,Default Brazil pricing
ZA,GP,Johannesburg,ZAR,High,Normal,1.2,60.0,2024-01-01,KG:LOC:JHB,Economic center
ZA,,,ZAR,Medium,Normal,1.0,40.0,2024-01-01,KG:LOC:ZA,Default South Africa pricing
CA,ON,Toronto,CAD,High,Peak,1.5,90.0,2024-01-01,KG:LOC:TOR,Financial center
CA,BC,Vancouver,CAD,High,Normal,1.3,80.0,2024-01-01,KG:LOC:VAN,Tech hub
CA,,,CAD,Medium,Normal,1.0,60.0,2024-01-01,KG:LOC:CA,Default Canada pricing
AU,NSW,Sydney,AUD,High,Peak,1.6,100.0,2024-01-01,KG:LOC:SYD,Economic center
AU,,,AUD,Medium,Normal,1.1,70.0,2024-01-01,KG:LOC:AU,Default Australia pricing
FR,IDF,Paris,EUR,Very High,Peak,1.8,120.0,2024-01-01,KG:LOC:PAR,Capital, high demand
FR,,,EUR,High,Normal,1.2,80.0,2024-01-01,KG:LOC:FR,Default France pricing
DE,BE,Berlin,EUR,High,Peak,1.5,90.0,2024-01-01,KG:LOC:BER,Capital, tech hub
DE,,,EUR,Medium,Normal,1.0,60.0,2024-01-01,KG:LOC:DE,Default Germany pricing
JP,13,Tokyo,JPY,Very High,Peak,2.0,15000.0,2024-01-01,KG:LOC:TKY,Capital, high demand
JP,,,JPY,High,Normal,1.3,9000.0,2024-01-01,KG:LOC:JP,Default Japan pricing
KR,11,Seoul,KRW,High,Peak,1.6,120000.0,2024-01-01,KG:LOC:SEL,Capital, high demand
KR,,,KRW,Medium,Normal,1.0,80000.0,2024-01-01,KG:LOC:KR,Default Korea pricing
AE,DU,Dubai,AED,Very High,Peak,2.2,400.0,2024-01-01,KG:LOC:DUB,Luxury market
AE,,,AED,High,Normal,1.5,250.0,2024-01-01,KG:LOC:AE,Default UAE pricing
RU,MOW,Moscow,RUB,High,Peak,1.4,70.0,2024-01-01,KG:LOC:MOW,Capital, high demand
RU,SPE,St Petersburg,RUB,High,Normal,1.2,60.0,2024-01-01,KG:LOC:SPE,Cultural center
RU,,,RUB,Medium,Normal,1.0,50.0,2024-01-01,KG:LOC:RU,Default Russia pricing
IT,LAZ,Rome,EUR,High,Peak,1.5,90.0,2024-01-01,KG:LOC:ROM,Capital, tourism
IT,LOM,Milan,EUR,High,Normal,1.3,80.0,2024-01-01,KG:LOC:MIL,Fashion capital
IT,,,EUR,Medium,Normal,1.0,60.0,2024-01-01,KG:LOC:IT,Default Italy pricing
ES,MD, Madrid,EUR,High,Peak,1.4,85.0,2024-01-01,KG:LOC:MAD,Capital, high demand
ES,CT,Barcelona,EUR,High,Normal,1.3,75.0,2024-01-01,KG:LOC:BCN,Tech and tourism
ES,,,EUR,Medium,Normal,1.0,55.0,2024-01-01,KG:LOC:ES,Default Spain pricing
SG,,Singapore,SGD,Very High,Peak,2.1,180.0,2024-01-01,KG:LOC:SGP,Financial hub
SG,,,SGD,High,Normal,1.4,120.0,2024-01-01,KG:LOC:SG,Default Singapore pricing
SE,AB,Stockholm,SEK,High,Peak,1.5,100.0,2024-01-01,KG:LOC:STO,Capital, tech hub
SE,,,SEK,Medium,Normal,1.1,70.0,2024-01-01,KG:LOC:SE,Default Sweden pricing
NO,03,Oslo,NOK,High,Peak,1.6,110.0,2024-01-01,KG:LOC:OSL,Capital, high demand
NO,,,NOK,Medium,Normal,1.2,80.0,2024-01-01,KG:LOC:NO,Default Norway pricing
FI,18,Helsinki,EUR,High,Peak,1.4,90.0,2024-01-01,KG:LOC:HEL,Capital, tech hub
FI,,,EUR,Medium,Normal,1.1,65.0,2024-01-01,KG:LOC:FI,Default Finland pricing
DK,84,Copenhagen,DKK,High,Peak,1.5,95.0,2024-01-01,KG:LOC:CPH,Capital, high demand
DK,,,DKK,Medium,Normal,1.1,70.0,2024-01-01,KG:LOC:DK,Default Denmark pricing
NL,NH,Amsterdam,EUR,High,Peak,1.6,100.0,2024-01-01,KG:LOC:AMS,Capital, tech hub
NL,,,EUR,Medium,Normal,1.2,80.0,2024-01-01,KG:LOC:NL,Default Netherlands pricing
BE,BRU,Brussels,EUR,High,Peak,1.5,90.0,2024-01-01,KG:LOC:BRU,Capital, EU center
BE,,,EUR,Medium,Normal,1.1,70.0,2024-01-01,KG:LOC:BE,Default Belgium pricing
PL,MZ,Warsaw,PLN,High,Peak,1.3,60.0,2024-01-01,KG:LOC:WAW,Capital, business hub
PL,,,PLN,Medium,Normal,1.0,45.0,2024-01-01,KG:LOC:PL,Default Poland pricing
TR,34,Istanbul,TRY,High,Peak,1.2,50.0,2024-01-01,KG:LOC:IST,Bridge of Europe and Asia
TR,,,TRY,Medium,Normal,1.0,35.0,2024-01-01,KG:LOC:TR,Default Turkey pricing
MX,CMX,Mexico City,MXN,High,Peak,1.3,70.0,2024-01-01,KG:LOC:CDMX,Capital, high demand
MX,,,MXN,Medium,Normal,1.0,50.0,2024-01-01,KG:LOC:MX,Default Mexico pricing
AR,C, Buenos Aires,ARS,High,Peak,1.2,40.0,2024-01-01,KG:LOC:BUE,Capital, business hub
AR,,,ARS,Medium,Normal,1.0,30.0,2024-01-01,KG:LOC:AR,Default Argentina pricing
EG,C, Cairo,EGP,High,Peak,1.1,30.0,2024-01-01,KG:LOC:CAI,Capital, largest city
EG,,,EGP,Medium,Normal,0.9,20.0,2024-01-01,KG:LOC:EG,Default Egypt pricing
KE,110,Nairobi,KES,Medium,Normal,1.0,25.0,2024-01-01,KG:LOC:NBO,Capital, tech hub
KE,,,KES,Low,Normal,0.8,15.0,2024-01-01,KG:LOC:KE,Default Kenya pricing
GH,AA,Accra,GHS,Medium,Normal,1.0,20.0,2024-01-01,KG:LOC:ACC,Capital, business hub
GH,,,GHS,Low,Normal,0.8,12.0,2024-01-01,KG:LOC:GH,Default Ghana pricing
SA,01,Riyadh,SAR,High,Peak,1.5,80.0,2024-01-01,KG:LOC:RUH,Capital, high demand
SA,02,Jeddah,SAR,High,Normal,1.3,70.0,2024-01-01,KG:LOC:JED,Port city
SA,,,SAR,Medium,Normal,1.0,60.0,2024-01-01,KG:LOC:SA,Default Saudi Arabia pricing
TH,10,Bangkok,THB,High,Peak,1.2,40.0,2024-01-01,KG:LOC:BKK,Capital, tourism
TH,,,THB,Medium,Normal,1.0,30.0,2024-01-01,KG:LOC:TH,Default Thailand pricing
ID,JK,Jakarta,IDR,High,Peak,1.1,35.0,2024-01-01,KG:LOC:JKT,Capital, business hub
ID,,,IDR,Medium,Normal,0.9,25.0,2024-01-01,KG:LOC:ID,Default Indonesia pricing
PH,NCR,Manila,PHP,High,Peak,1.0,20.0,2024-01-01,KG:LOC:MNL,Capital, high demand
PH,,,PHP,Medium,Normal,0.8,15.0,2024-01-01,KG:LOC:PH,Default Philippines pricing
PK,SD,Karachi,PKR,Medium,Normal,0.9,18.0,2024-01-01,KG:LOC:KHI,Commercial center
PK,,,PKR,Low,Normal,0.7,12.0,2024-01-01,KG:LOC:PK,Default Pakistan pricing
UA,30,Kyiv,UAH,Medium,Normal,1.0,20.0,2024-01-01,KG:LOC:IEV,Capital, business hub
UA,,,UAH,Low,Normal,0.8,15.0,2024-01-01,KG:LOC:UA,Default Ukraine pricing
NG,KN,Kano,NGN,Low,Normal,0.7,20.0,2024-01-01,KG:LOC:KAN,Northern Nigeria
NG,OY,Ibadan,NGN,Low,Normal,0.7,18.0,2024-01-01,KG:LOC:IBA,Southwest Nigeria
US,IL,Chicago,USD,High,Normal,1.2,85.0,2024-01-01,KG:LOC:CHI,Midwest hub
US,WA,Seattle,USD,High,Normal,1.3,90.0,2024-01-01,KG:LOC:SEA,Tech hub
US,MA,Boston,USD,High,Normal,1.3,95.0,2024-01-01,KG:LOC:BOS,Education and tech
US,FL,Miami,USD,High,Peak,1.4,100.0,2024-01-01,KG:LOC:MIA,Finance and tourism
US,GA,Atlanta,USD,Medium,Normal,1.1,70.0,2024-01-01,KG:LOC:ATL,Logistics hub
US,DC,Washington,USD,High,Normal,1.3,100.0,2024-01-01,KG:LOC:DC,Capital city
CA,QC,Montreal,CAD,High,Normal,1.2,75.0,2024-01-01,KG:LOC:MTL,Cultural center
CA,AB,Calgary,CAD,Medium,Normal,1.0,65.0,2024-01-01,KG:LOC:CAL,Energy hub
AU,VIC,Melbourne,AUD,High,Normal,1.3,85.0,2024-01-01,KG:LOC:MEL,Cultural capital
AU,QLD,Brisbane,AUD,Medium,Normal,1.1,75.0,2024-01-01,KG:LOC:BRI,Sunshine state
BR,RJ,Rio de Janeiro,BRL,High,Peak,1.3,65.0,2024-01-01,KG:LOC:RIO,Tourism and culture
BR,MG,Belo Horizonte,BRL,Medium,Normal,1.0,45.0,2024-01-01,KG:LOC:BH,Mining region
ZA,WC,Cape Town,ZAR,High,Peak,1.3,70.0,2024-01-01,KG:LOC:CPT,Tourism and tech
ZA,KZN,Durban,ZAR,Medium,Normal,1.0,50.0,2024-01-01,KG:LOC:DUR,Port city 